Loc	Loc Zn	Loc Name	Loc Purp Desc	Loc/QTI	Flow Ind	DC	OPC	TSQ	OAC	IT	Auth Overrun Ind	Nom Cap Exceed Ind	All Qty Avail	Qty Reason	date	cycle
100734	WEST TEXAS	3 BEAR LEA	M2	RPQ	R	40000	55000	24000	31000	Y	N	Y	Y		2022-03-03	final
60152	CENTRAL	ABO FUEL DEL	MQ	DPQ	D	5000	5000	1050	3950	Y	N	N	Y		2022-03-03	final
28786	PANHANDLE	ADOBE OWENS CORNING	MQ	DPQ	D	13000	13000	4000	9000	N	N	N	Y		2022-03-03	final
500307	CENTRAL	AGAVE LONG ARROYO MQ	M2	RPQ	R	70000	70000	1000	69000	Y	N	N	Y		2022-03-03	final
79028	WEST TEXAS	AGAVE ROJO BANCO	M2	RPQ	R	380000	380000	339238	40762	Y	N	N	Y		2022-03-03	final
79049	PANHANDLE	ATMOS AIRPORT I/C	MQ	DPQ	D	250	250	1	249	N	N	N	Y		2022-03-03	final
79052	PANHANDLE	ATMOS CANYON WEST I/C	MQ	DPQ	D	3000	3000	400	2600	N	N	N	Y		2022-03-03	final
79058	PANHANDLE	ATMOS PAMPA NORTH	MQ	DPQ	D	15600	15600	1200	14400	N	N	N	Y		2022-03-03	final
78474	PANHANDLE	ATMOS RANDALL COUNTY	MQ	DPQ	D	120000	120000	8255	111745	N	N	N	Y		2022-03-03	final
100732	PHOENIX	Arlington Valley Plant	MQ	DPQ	D	250000	250000	42238	207762	N	N	N	Y		2022-03-03	final
500536	SAN JUAN2	BP FLORIDA PLANT I/C	M2	RPQ	R	360000	360000	43749	316251	Y	N	N	Y		2022-03-03	final
78113	W. THOREAU	CALPINE SO. POINT POWER DEL	MQ	DPQ	D	90000	100000	15852	84148	Y	N	N	Y		2022-03-03	final
79035	CENTRAL	COYOTE INTERCONNECT	MQ	DPQ	D	3500	3500	700	2800	Y	N	N	Y		2022-03-03	final
78477	PANHANDLE	DAIRICONCEPTS - ROOSEVELT	MQ	DPQ	D	6000	6000	2121	3879	N	N	N	Y		2022-03-03	final
10703	CENTRAL	DCP Artesia	M2	RPQ	R	43000	38000	19998	18002	Y	N	N	Y		2022-03-03	final
79029	CENTRAL	DCP FUEL TAP EDDY	MQ	DPQ	D	1000	1500	107	1393	Y	N	N	Y		2022-03-03	final
79069	CENTRAL	DCP ZIA II	M2	RPQ	R	125000	125000	50700	74300	Y	N	N	Y		2022-03-03	final
12354	CENTRAL	DOMINION GAS/TULE LAKE INTERCONNECT	M2	RPQ	R	10000	5000	600	4400	Y	N	N	Y		2022-03-03	final
13199	CENTRAL	EASTERN NEW MEXICO ROOSEVELT	MQ	DPQ	D	10000	10000	200	9800	N	N	N	Y		2022-03-03	final
500540	SAN JUAN2	EL PASO BLANCO I/C	MQ	DPQ	D	440000	440000	42726	397274	N	N	N	Y		2022-03-03	final
57336	PANHANDLE	ENERGAS DEL-GRAY	MQ	DPQ	D	50000	10000	136	9864	Y	N	N	Y		2022-03-03	final
53772	PANHANDLE	ENERGAS INTERCONNECT (STOCKER M M)	MQ	DPQ	D	500	500	3	497	N	N	N	Y		2022-03-03	final
78423	SAN JUAN	ENTERPRISE CHACO PLANT I/C	M2	RPQ	R	250000	210000	162099	47901	Y	N	N	Y		2022-03-03	final
78093	CENTRAL	ENTERPRISE EDDY	M2	RPQ	R	100000	100000	32000	68000	Y	N	N	Y		2022-03-03	final
79075	WEST TEXAS	ENTERPRISE SOUTH EDDY	M2	RPQ	R	200000	200000	80581	119419	Y	N	N	Y		2022-03-03	final
500515	WEST TEXAS	ENTERPRISE WAHA PECOS	MQ	DPQ	D	180000	180000	36000	144000	N	N	N	Y		2022-03-03	final
56943	WEST TEXAS	ENTERPRISE WARD	MQ	DPQ	D	155000	155000	47879	107121	N	N	N	Y		2022-03-03	final
79063	WEST TEXAS	EOG PITCHFORK-DELIVERY	MQ	DPQ	D	10000	13500	8387	5113	Y	N	N	Y		2022-03-03	final
100757	WEST TEXAS	EOG Red Hills	MQ	DPQ	D	55000	55000	19734	35266	Y	N	N	Y		2022-03-03	final
78269	WEST TEXAS	ETC BLK #16 FUEL	MQ	DPQ	D	1000	2000	1	1999	Y	N	N	Y		2022-03-03	final
79087	WEST TEXAS	ETC HALLEY	M2	RPQ	R	90000	90000	49965	40035	Y	N	N	Y		2022-03-03	final
100704	PANHANDLE	ETC ISAAC FUEL	MQ	DPQ	D	2000	2000	200	1800	Y	N	N	Y		2022-03-03	final
