Loc	Loc Zn	Loc Name	Loc Purp Desc	Loc/QTI	Flow Ind	DC	OPC	TSQ	OAC	IT	Auth Overrun Ind	Nom Cap Exceed Ind	All Qty Avail	Qty Reason	date	cycle
100734	WEST TEXAS	3 BEAR LEA	M2	RPQ	R	40000	55000	24000	31000	Y	N	N	Y		2022-03-03	intra3
60152	CENTRAL	ABO FUEL DEL	MQ	DPQ	D	5000	5000	1050	3950	Y	N	N	Y		2022-03-03	intra3
28786	PANHANDLE	ADOBE OWENS CORNING	MQ	DPQ	D	13000	13000	4000	9000	N	N	N	Y		2022-03-03	intra3
500307	CENTRAL	AGAVE LONG ARROYO MQ	M2	RPQ	R	70000	70000	1000	69000	Y	N	N	Y		2022-03-03	intra3
79028	WEST TEXAS	AGAVE ROJO BANCO	M2	RPQ	R	380000	380000	339238	40762	Y	N	N	Y		2022-03-03	intra3
79049	PANHANDLE	ATMOS AIRPORT I/C	MQ	DPQ	D	250	250	1	249	N	N	N	Y		2022-03-03	intra3
79052	PANHANDLE	ATMOS CANYON WEST I/C	MQ	DPQ	D	3000	3000	400	2600	N	N	N	Y		2022-03-03	intra3
79058	PANHANDLE	ATMOS PAMPA NORTH	MQ	DPQ	D	15600	15600	1200	14400	N	N	N	Y		2022-03-03	intra3
78474	PANHANDLE	ATMOS RANDALL COUNTY	MQ	DPQ	D	120000	120000	8255	111745	N	N	N	Y		2022-03-03	intra3
100732	PHOENIX	Arlington Valley Plant	MQ	DPQ	D	250000	250000	42238	207762	N	N	N	Y		2022-03-03	intra3
500536	SAN JUAN2	BP FLORIDA PLANT I/C	M2	RPQ	R	360000	360000	43749	316251	Y	N	N	Y		2022-03-03	intra3
78113	W. THOREAU	CALPINE SO. POINT POWER DEL	MQ	DPQ	D	90000	100000	15852	84148	Y	N	N	Y		2022-03-03	intra3
79035	CENTRAL	COYOTE INTERCONNECT	MQ	DPQ	D	3500	3500	700	2800	Y	N	N	Y		2022-03-03	intra3
